Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
31.40515,29.07500,1.62340,113.19000,24.75000,35.00000,19.50000,19.19000
31.60757,29.07800,1.62160,113.94000,24.75000,35.13000,19.50000,19.19000
31.80939,29.08000,1.61980,113.94000,24.75000,35.25000,19.50000,19.19000
32.01073,29.08300,1.61800,114.62000,24.75000,35.25000,19.50000,19.19000
32.21375,29.08500,1.61620,115.37000,24.75000,35.38000,19.50000,19.19000
32.41359,29.08800,1.61440,115.37000,24.75000,35.50000,19.50000,19.19000
32.60079,29.09000,1.61260,116.12000,24.69000,35.50000,19.50000,19.19000
32.80455,29.09300,1.61080,116.81000,24.69000,35.63000,19.50000,19.19000
33.00355,29.09500,1.60910,116.81000,24.69000,35.63000,19.50000,19.19000
33.20513,29.09800,1.60730,117.50000,24.69000,35.75000,19.50000,19.19000
33.40641,29.10000,1.60560,118.25000,24.69000,35.94000,19.50000,19.19000
33.60920,29.10300,1.60390,118.25000,24.69000,35.94000,19.50000,19.19000
33.79530,29.10500,1.60220,118.94000,24.69000,36.13000,19.50000,19.19000
33.99846,29.10800,1.60050,119.62000,24.69000,36.31000,19.50000,19.19000
34.20074,29.11000,1.59880,119.62000,24.69000,36.31000,19.50000,19.19000
34.40328,29.11200,1.59710,120.25000,24.69000,36.50000,19.50000,19.19000
34.60466,29.11500,1.59540,120.25000,24.69000,36.69000,19.50000,19.19000
34.79059,29.11700,1.59370,121.00000,24.69000,36.69000,19.50000,19.19000
34.99357,29.12000,1.59210,121.69000,24.69000,36.88000,19.50000,19.19000
35.19424,29.12200,1.59040,121.69000,24.69000,36.88000,19.50000,19.19000
35.39622,29.12400,1.58880,122.31000,24.69000,37.00000,19.50000,19.19000
35.59832,29.12600,1.58710,122.94000,24.69000,37.19000,19.50000,19.19000
35.80037,29.12900,1.58550,122.94000,24.69000,37.19000,19.50000,19.19000
35.98655,29.13100,1.58390,123.69000,24.69000,37.38000,19.50000,19.19000
36.18874,29.13300,1.58230,124.37000,24.62000,37.50000,19.50000,19.19000
36.39180,29.13600,1.58070,124.37000,24.62000,37.50000,19.50000,19.19000
36.59367,29.13800,1.57910,125.06000,24.62000,37.69000,19.50000,19.19000
36.79409,29.14000,1.57750,125.69000,24.62000,37.81000,19.50000,19.19000
36.98030,29.14200,1.57600,125.69000,24.62000,37.81000,19.50000,19.19000
37.18397,29.14400,1.57440,126.44000,24.62000,37.94000,19.50000,19.19000
37.38717,29.14700,1.57290,127.12000,24.56000,37.94000,19.50000,19.19000
37.58847,29.14900,1.57130,127.12000,24.56000,38.06000,19.50000,19.19000
37.79059,29.15100,1.56980,127.75000,24.56000,38.25000,19.50000,19.19000
37.97781,29.15300,1.56830,128.50000,24.56000,38.25000,19.50000,19.19000
38.17986,29.15500,1.56670,128.50000,24.56000,38.38000,19.50000,19.19000
38.37946,29.15700,1.56520,129.19000,24.56000,38.50000,19.56000,19.19000
38.58160,29.16000,1.56370,129.81000,24.56000,38.50000,19.56000,19.19000
38.78403,29.16200,1.56220,129.81000,24.56000,38.69000,19.56000,19.19000
38.98659,29.16300,1.56080,130.44000,24.56000,38.88000,19.56000,19.19000
39.17275,29.16600,1.55930,131.00000,24.56000,38.88000,19.56000,19.19000
39.37403,29.16800,1.55780,131.00000,24.56000,39.00000,19.56000,19.19000
39.57648,29.17000,1.55630,131.69000,24.56000,39.19000,19.56000,19.19000
39.77745,29.17200,1.55490,132.31000,24.56000,39.19000,19.56000,19.19000
39.97821,29.17400,1.55340,132.31000,24.56000,39.31000,19.56000,19.19000
40.17982,29.17600,1.55200,132.94000,24.56000,39.31000,19.56000,19.19000
40.38084,29.17800,1.55060,132.94000,24.56000,39.44000,19.56000,19.19000
40.56625,29.18000,1.54910,133.50000,24.56000,39.63000,19.56000,19.19000
40.77064,29.18200,1.54770,134.19000,24.56000,39.63000,19.56000,19.19000
40.97343,29.18400,1.54630,134.19000,24.50000,39.81000,19.56000,19.19000
41.17614,29.18600,1.54490,134.81000,24.50000,40.00000,19.56000,19.19000
41.36218,29.18800,1.54350,135.38000,24.50000,40.00000,19.56000,19.19000
41.56308,29.19000,1.54210,135.38000,24.50000,40.13000,19.56000,19.19000
41.76264,29.19100,1.54080,136.06000,24.50000,40.13000,19.56000,19.19000
41.96599,29.19300,1.53940,136.69000,24.50000,40.25000,19.56000,19.19000
42.16711,29.19500,1.53800,136.69000,24.50000,40.44000,19.56000,19.19000
42.36889,29.19700,1.53670,137.25000,24.50000,40.44000,19.56000,19.19000
42.57193,29.19900,1.53530,137.75000,24.50000,40.56000,19.56000,19.19000
42.75815,29.20100,1.53400,137.75000,24.50000,40.69000,19.56000,19.19000
42.96096,29.20300,1.53260,138.25000,24.50000,40.69000,19.56000,19.19000
43.16288,29.20400,1.53130,138.88000,24.50000,40.88000,19.56000,19.19000
43.36603,29.20600,1.53000,138.88000,24.50000,41.06000,19.56000,19.19000
43.55356,29.20800,1.52870,139.44000,24.50000,41.06000,19.56000,19.19000
43.75124,29.21000,1.52730,140.00000,24.50000,41.19000,19.56000,19.19000
43.95361,29.21200,1.52610,140.00000,24.50000,41.38000,19.56000,19.19000
44.15543,29.21400,1.52480,140.69000,24.50000,41.38000,19.56000,19.19000
44.35744,29.21500,1.52350,141.25000,24.50000,41.50000,19.56000,19.19000
44.55952,29.21700,1.52220,141.25000,24.50000,41.50000,19.56000,19.19000
44.76178,29.21900,1.52090,141.81000,24.50000,41.63000,19.56000,19.19000
44.94851,29.22100,1.51960,142.31000,24.50000,41.75000,19.56000,19.19000
45.14919,29.22200,1.51840,142.31000,24.50000,41.75000,19.56000,19.19000
45.35344,29.22400,1.51710,142.94000,24.50000,41.88000,19.56000,19.19000
45.55566,29.22600,1.51590,142.94000,24.50000,42.06000,19.56000,19.19000
45.75764,29.22800,1.51460,143.50000,24.50000,42.06000,19.56000,19.19000
45.94413,29.22900,1.51340,144.06000,24.50000,42.25000,19.56000,19.19000
46.14522,29.23100,1.51210,144.06000,24.50000,42.38000,19.56000,19.19000
46.34719,29.23300,1.51090,144.56000,24.50000,42.38000,19.56000,19.19000
46.54891,29.23400,1.50970,145.19000,24.50000,42.50000,19.56000,19.19000
46.75178,29.23600,1.50850,145.19000,24.50000,42.50000,19.56000,19.19000
46.95338,29.23800,1.50730,145.75000,24.50000,42.69000,19.56000,19.19000
47.14202,29.23900,1.50610,146.25000,24.50000,42.81000,19.56000,19.19000
47.34287,29.24100,1.50490,146.25000,24.50000,42.81000,19.56000,19.19000
47.54662,29.24300,1.50370,146.75000,24.50000,42.94000,19.56000,19.19000
47.74730,29.24400,1.50250,147.31000,24.50000,43.13000,19.56000,19.19000
47.94850,29.24600,1.50130,147.31000,24.50000,43.13000,19.56000,19.19000
48.13331,29.24700,1.50010,147.88000,24.50000,43.31000,19.56000,19.19000
48.33721,29.24900,1.49900,148.38000,24.50000,43.44000,19.56000,19.19000
48.53837,29.25000,1.49780,148.38000,24.50000,43.44000,19.56000,19.19000
48.74286,29.25100,1.49660,148.88000,24.50000,43.56000,19.56000,19.19000
48.94422,29.25200,1.49540,149.44000,24.50000,43.56000,19.56000,19.19000
49.13077,29.25400,1.49430,149.44000,24.50000,43.75000,19.56000,19.19000
49.33335,29.25600,1.49320,149.94000,24.50000,43.94000,19.56000,19.19000
49.53548,29.25700,1.49200,150.44000,24.50000,43.94000,19.56000,19.19000
49.73782,29.25900,1.49090,150.44000,24.50000,44.06000,19.56000,19.19000
49.92621,29.26100,1.48980,150.94000,24.50000,44.25000,19.56000,19.19000
50.12836,29.26200,1.48870,151.50000,24.50000,44.25000,19.56000,19.19000
50.32916,29.26400,1.48760,151.50000,24.50000,44.38000,19.56000,19.12000
50.53185,29.26500,1.48650,152.00000,24.50000,44.50000,19.56000,19.12000
50.73398,29.26700,1.48540,152.00000,24.50000,44.50000,19.56000,19.12000
50.92054,29.26900,1.48430,152.50000,24.50000,44.69000,19.56000,19.12000
51.12140,29.27000,1.48320,153.00000,24.50000,44.69000,19.56000,19.12000
51.32529,29.27200,1.48210,153.00000,24.50000,44.81000,19.56000,19.12000
51.52798,29.27300,1.48100,153.56000,24.50000,44.94000,19.56000,19.12000
51.73068,29.27500,1.47990,154.13000,24.50000,44.94000,19.56000,19.12000
51.91804,29.27600,1.47880,154.13000,24.50000,45.06000,19.56000,19.12000
52.11876,29.27800,1.47780,154.63000,24.50000,45.19000,19.56000,19.12000
52.31991,29.27900,1.47670,155.06000,24.50000,45.19000,19.56000,19.12000
52.52183,29.28000,1.47570,155.06000,24.50000,45.38000,19.56000,19.12000
52.72431,29.28200,1.47460,155.63000,24.50000,45.56000,19.56000,19.12000
52.92522,29.28300,1.47360,156.13000,24.50000,45.56000,19.56000,19.12000
53.11163,29.28500,1.47250,156.13000,24.50000,45.75000,19.56000,19.12000
53.31511,29.28600,1.47150,156.56000,24.50000,45.75000,19.56000,19.12000
53.51683,29.28800,1.47050,157.00000,24.50000,45.88000,19.56000,19.12000
53.71890,29.28900,1.46950,157.00000,24.50000,46.06000,19.56000,19.12000
53.92230,29.29100,1.46840,157.50000,24.50000,46.06000,19.56000,19.12000
54.10914,29.29200,1.46740,157.94000,24.50000,46.19000,19.56000,19.12000
54.31268,29.29300,1.46640,157.94000,24.50000,46.31000,19.56000,19.12000
54.51275,29.29500,1.46540,158.38000,24.50000,46.31000,19.56000,19.12000
54.71450,29.29600,1.46440,158.81000,24.50000,46.50000,19.56000,19.12000
54.91756,29.29700,1.46340,158.81000,24.50000,46.63000,19.56000,19.12000
55.10516,29.29900,1.46240,159.31000,24.50000,46.63000,19.56000,19.12000
55.30656,29.30000,1.46140,159.75000,24.50000,46.81000,19.56000,19.12000
55.50962,29.30100,1.46040,159.75000,24.50000,46.81000,19.56000,19.12000
